"\TBL","5C","5D","5E","60","61","62","63","AA"
"00","[A]","L~Sub1~","\NUL","Pic1","GDB1","\NUL","ZXscl","Str1"
"01","[B]","L~Sub2~","\NUL","Pic2","GDB2","RegEq","ZYscl","Str2"
"02","[C]","L~Sub3~","\NUL","Pic3","GDB3","n","Xscl","Str3"
"03","[D]","L~Sub4~","\NUL","Pic4","GDB4","~XMean~","Yscl","Str4"
"04","[E]","L~Sub5~","\NUL","Pic5","GDB5","~CapSigma~x","U~RecN~Start","Str5"
"05","[F]","L~Sub6~","\NUL","Pic6","GDB6","~CapSigma~x~Sq~","V~RecN~Start","Str6"
"06","[G]","L~Sub7~","\NUL","Pic7","GDB7","Sx","U~RecN~~Neg~~Sub1~","Str7"
"07","[H]","L~Sub8~","\NUL","Pic8","GDB8","~SmallSigma~x","V~RecN~~Neg~~Sub1~","Str8"
"08","[I]","L~Sub9~","\NUL","Pic9","GDB9","minX","ZU~RecN~Start","Str9"
"09","[J]","L~Sub0~","\NUL","Pic0","GDB0","maxX","ZV~RecN~Start","Str0"
"0A","\NUL","\NUL","\NUL","\NUL","\NUL","minY","Xmin","\NUL"
"0B","\NUL","\NUL","\NUL","\NUL","\NUL","maxY","Xmax","\NUL"
"0C","\NUL","\NUL","\NUL","\NUL","\NUL","~YMean~","Ymin","\NUL"
"0D","\NUL","\NUL","\NUL","\NUL","\NUL","~CapSigma~y","Ymax","\NUL"
"0E","\NUL","\NUL","\NUL","\NUL","\NUL","~CapSigma~y~Sq~","Tmin","\NUL"
"0F","\NUL","\NUL","\NUL","\NUL","\NUL","Sy","Tmax","\NUL"
"10","\NUL","\NUL","Y~Sub1~","\NUL","\NUL","~SmallSigma~y","~Theta~min","\NUL"
"11","\NUL","\NUL","Y~Sub2~","\NUL","\NUL","~CapSigma~xy","~Theta~max","\NUL"
"12","\NUL","\NUL","Y~Sub3~","\NUL","\NUL","r","ZXmin","\NUL"
"13","\NUL","\NUL","Y~Sub4~","\NUL","\NUL","Med","ZXmax","\NUL"
"14","\NUL","\NUL","Y~Sub5~","\NUL","\NUL","Q~Sub1~","ZYmin","\NUL"
"15","\NUL","\NUL","Y~Sub6~","\NUL","\NUL","Q~Sub3~","ZYmax","\NUL"
"16","\NUL","\NUL","Y~Sub7~","\NUL","\NUL","a","Z~Theta~min","\NUL"
"17","\NUL","\NUL","Y~Sub8~","\NUL","\NUL","b","Z~Theta~max","\NUL"
"18","\NUL","\NUL","Y~Sub9~","\NUL","\NUL","c","ZTmin","\NUL"
"19","\NUL","\NUL","Y~Sub0~","\NUL","\NUL","d","ZTmax","\NUL"
"1A","\NUL","\NUL","\NUL","\NUL","\NUL","e","TblMin","\NUL"
"1B","\NUL","\NUL","\NUL","\NUL","\NUL","x~Sub1~","~RecN~Min","\NUL"
"1C","\NUL","\NUL","\NUL","\NUL","\NUL","x~Sub2~","Z~RecN~Min","\NUL"
"1D","\NUL","\NUL","\NUL","\NUL","\NUL","x~Sub3~","~RecN~Max","\NUL"
"1E","\NUL","\NUL","\NUL","\NUL","\NUL","y~Sub1~","Z~RecN~Max","\NUL"
"1F","\NUL","\NUL","\NUL","\NUL","\NUL","y~Sub2~","~RecN~Start","\NUL"
"20","\NUL","\NUL","X~Sub1~~SubT~","\NUL","\NUL","y~Sub3~","Z~RecN~Start","\NUL"
"21","\NUL","\NUL","Y~Sub1~~SubT~","\NUL","\NUL","~RecN~","~CapDelta~Tbl","\NUL"
"22","\NUL","\NUL","X~Sub2~~SubT~","\NUL","\NUL","p","Tstep","\NUL"
"23","\NUL","\NUL","Y~Sub2~~SubT~","\NUL","\NUL","z","~Theta~step","\NUL"
"24","\NUL","\NUL","X~Sub3~~SubT~","\NUL","\NUL","t","ZTstep","\NUL"
"25","\NUL","\NUL","Y~Sub3~~SubT~","\NUL","\NUL","~SmallChi~~Sq~","Z~Theta~step","\NUL"
"26","\NUL","\NUL","X~Sub4~~SubT~","\NUL","\NUL","F","~CapDelta~X","\NUL"
"27","\NUL","\NUL","Y~Sub4~~SubT~","\NUL","\NUL","df","~CapDelta~Y","\NUL"
"28","\NUL","\NUL","X~Sub5~~SubT~","\NUL","\NUL","~PHat~","XFact","\NUL"
"29","\NUL","\NUL","Y~Sub5~~SubT~","\NUL","\NUL","~PHat~~Sub1~","YFact","\NUL"
"2A","\NUL","\NUL","X~Sub6~~SubT~","\NUL","\NUL","~PHat~~Sub2~","TblInput","\NUL"
"2B","\NUL","\NUL","Y~Sub6~~SubT~","\NUL","\NUL","~XMean~~Sub1~","~FinanceCapN~","\NUL"
"2C","\NUL","\NUL","\NUL","\NUL","\NUL","Sx~Sub1~","I%","\NUL"
"2D","\NUL","\NUL","\NUL","\NUL","\NUL","n~Sub1~","PV","\NUL"
"2E","\NUL","\NUL","\NUL","\NUL","\NUL","~XMean~~Sub2~","PMT","\NUL"
"2F","\NUL","\NUL","\NUL","\NUL","\NUL","Sx~Sub2~","FV","\NUL"
"30","\NUL","\NUL","\NUL","\NUL","\NUL","n~Sub2~","Xres","\NUL"
"31","\NUL","\NUL","\NUL","\NUL","\NUL","Sxp","ZXres","\NUL"
"32","\NUL","\NUL","\NUL","\NUL","\NUL","lower","\NUL","\NUL"
"33","\NUL","\NUL","\NUL","\NUL","\NUL","upper","\NUL","\NUL"
"34","\NUL","\NUL","\NUL","\NUL","\NUL","s","\NUL","\NUL"
"35","\NUL","\NUL","\NUL","\NUL","\NUL","r~Sq~","\NUL","\NUL"
"36","\NUL","\NUL","\NUL","\NUL","\NUL","R~Sq~","\NUL","\NUL"
"37","\NUL","\NUL","\NUL","\NUL","\NUL","df","\NUL","\NUL"
"38","\NUL","\NUL","\NUL","\NUL","\NUL","SS","\NUL","\NUL"
"39","\NUL","\NUL","\NUL","\NUL","\NUL","MS","\NUL","\NUL"
"3A","\NUL","\NUL","\NUL","\NUL","\NUL","df","\NUL","\NUL"
"3B","\NUL","\NUL","\NUL","\NUL","\NUL","SS","\NUL","\NUL"
"3C","\NUL","\NUL","\NUL","\NUL","\NUL","MS","\NUL","\NUL"
"40","\NUL","\NUL","r~Sub1~","\NUL","\NUL","\NUL","\NUL","\NUL"
"41","\NUL","\NUL","r~Sub2~","\NUL","\NUL","\NUL","\NUL","\NUL"
"42","\NUL","\NUL","r~Sub3~","\NUL","\NUL","\NUL","\NUL","\NUL"
"43","\NUL","\NUL","r~Sub4~","\NUL","\NUL","\NUL","\NUL","\NUL"
"44","\NUL","\NUL","r~Sub5~","\NUL","\NUL","\NUL","\NUL","\NUL"
"45","\NUL","\NUL","r~Sub6~","\NUL","\NUL","\NUL","\NUL","\NUL"
"80","\NUL","\NUL","u","\NUL","\NUL","\NUL","\NUL","\NUL"
"81","\NUL","\NUL","v","\NUL","\NUL","\NUL","\NUL","\NUL"
